access,area,bridge,distance,from,hgv,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel
,,,108.820531,80240030,,residential,,,,West 82nd Street,no,,,1902893549,
,,,108.820531,1902893549,,residential,,,,West 82nd Street,no,,,80240030,
,,,42.082327,1902893549,,residential,,,,West 82nd Street,no,,,1351702288,
,,,42.082327,1351702288,,residential,,,,West 82nd Street,no,,,1902893549,
,,,91.84392,1351702288,,residential,,,,West 82nd Street,no,,,80240032,
,,,91.84392,80240032,,residential,,,,West 82nd Street,no,,,1351702288,
,,,141.893323,80240032,,residential,,,,West 82nd Street,no,,,80240043,
,,,141.893323,80240043,,residential,,,,West 82nd Street,no,,,80240032,
,,,91.199712,80240043,,residential,,,,West 82nd Street,no,,,80240047,
,,,91.199712,80240047,,residential,,,,West 82nd Street,no,,,80240043,
,,,91.093236,80240047,,residential,,,,West 82nd Street,no,,,80240057,
,,,91.093236,80240057,,residential,,,,West 82nd Street,no,,,80240047,
,,,331.654487,80293882,,residential,,,,South Hughes Avenue,no,,,80304181,
,,,331.654487,80304181,,residential,,,,South Hughes Avenue,no,,,80293882,
,,,377.102309,80304181,,residential,,,,South Hughes Avenue,no,,,5096421503,
,,,377.102309,5096421503,,residential,,,,South Hughes Avenue,no,,,80304181,
,,,45.814197,5096421503,,residential,,,,South Hughes Avenue,no,,,80240164,
,,,45.814197,80240164,,residential,,,,South Hughes Avenue,no,,,5096421503,
,,,37.095661,80240164,,residential,,,,South Hughes Avenue,no,,,80240157,
,,,37.095661,80240157,,residential,,,,South Hughes Avenue,no,,,80240164,
,,,52.243776,80240157,,residential,,,,South Hughes Avenue,no,,,80240047,
,,,52.243776,80240047,,residential,,,,South Hughes Avenue,no,,,80240157,
,,,308.867909,80240047,,residential,,,,South Hughes Avenue,no,,,80240144,
,,,308.867909,80240144,,residential,,,,South Hughes Avenue,no,,,80240047,
,,,177.431841,1351702195,,residential,,,,South Ridgestone Drive,no,,,1351702269,
,,,177.431841,1351702269,,residential,,,,South Ridgestone Drive,no,,,1351702195,
,,,181.809936,1351702269,,residential,,,,South Ridgestone Drive,no,,,80232730,
,,,181.809936,80232730,,residential,,,,South Ridgestone Drive,no,,,1351702269,
private,,,467.779115,80241217,,service,,,,,,,,80241220,
